No.,Time,Delta ,Source,Destination,Protocol,Length,TCP Segment Len,Info
7934,817.0368383,0.002011763,10.230.184.102,10.230.184.187,DNS,70,,Standard query 0xe4d7 A github.com
7935,817.0413122,0.004473957,10.230.184.187,10.230.184.102,DNS,153,,Standard query response 0x55c3 A avatars.githubusercontent.com A 185.199.111.133 A 185.199.110.133 A 185.199.109.133 A 185.199.108.133
7936,817.0413127,0.000000408,10.230.184.187,10.230.184.102,DNS,201,,Standard query response 0x28c4 AAAA avatars.githubusercontent.com AAAA 2606:50c0:8003::154 AAAA 2606:50c0:8002::154 AAAA 2606:50c0:8001::154 AAAA 2606:50c0:8000::154
7938,817.1458053,0.104492673,10.230.184.187,10.230.184.102,DNS,147,,Standard query response 0x3d5a A github.githubassets.com A 185.199.108.215 A 185.199.109.215 A 185.199.110.215 A 185.199.111.215
7939,817.1461113,0.000305931,10.230.184.102,10.230.184.187,DNS,83,,Standard query 0xf444 AAAA github.githubassets.com
7940,817.1473808,0.001269526,10.230.184.187,10.230.184.102,DNS,309,,Standard query response 0xe4d7 A github.com A 140.82.121.4 NS dns1.p08.nsone.net NS dns2.p08.nsone.net NS dns3.p08.nsone.net NS dns4.p08.nsone.net NS ns-1283.awsdns-32.org NS ns-1707.awsdns-21.co.uk NS ns-421.awsdns-52.com NS ns-520.awsdns-01.net
7943,817.1514594,0.004078615,10.230.184.187,10.230.184.102,DNS,195,,Standard query response 0xf444 AAAA github.githubassets.com AAAA 2606:50c0:8002::215 AAAA 2606:50c0:8003::215 AAAA 2606:50c0:8001::215 AAAA 2606:50c0:8000::215
8012,818.773073,1.621613598,10.230.184.102,10.230.184.187,DNS,89,,Standard query 0xe852 A avatars.githubusercontent.com
8013,818.7733725,0.000299504,10.230.184.102,10.230.184.187,DNS,83,,Standard query 0xa3f4 A github.githubassets.com
8015,818.7798471,0.006474574,10.230.184.187,10.230.184.102,DNS,153,,Standard query response 0xe852 A avatars.githubusercontent.com A 185.199.108.133 A 185.199.111.133 A 185.199.110.133 A 185.199.109.133
8016,818.7798474,0.000000348,10.230.184.187,10.230.184.102,DNS,147,,Standard query response 0xa3f4 A github.githubassets.com A 185.199.111.215 A 185.199.110.215 A 185.199.109.215 A 185.199.108.215
8054,819.3026753,0.522827863,10.230.184.102,10.230.184.187,DNS,71,,Standard query 0xf245 A example.org
8055,819.3067393,0.004063966,10.230.184.187,10.230.184.102,DNS,103,,Standard query response 0xf245 A example.org A 172.66.157.237 A 104.20.26.136
8056,819.3069275,0.000188204,10.230.184.102,10.230.184.187,DNS,71,,Standard query 0xa246 AAAA example.org
8065,819.3795953,0.072667825,10.230.184.187,10.230.184.102,DNS,127,,Standard query response 0xa246 AAAA example.org AAAA 2606:4700:10::6814:1a88 AAAA 2606:4700:10::ac42:9ded
8066,819.3898755,0.010280254,10.230.184.102,10.230.184.187,DNS,71,,Standard query 0x211f A example.org
8067,819.3903461,0.000470574,10.230.184.102,10.230.184.187,DNS,71,,Standard query 0x7319 AAAA example.org
8068,819.3981011,0.007755002,10.230.184.187,10.230.184.102,DNS,103,,Standard query response 0x211f A example.org A 104.20.26.136 A 172.66.157.237
8069,819.3981014,0.000000282,10.230.184.187,10.230.184.102,DNS,127,,Standard query response 0x7319 AAAA example.org AAAA 2606:4700:10::ac42:9ded AAAA 2606:4700:10::6814:1a88
8086,819.5194389,0.12133755,10.230.184.102,10.230.184.187,DNS,77,,Standard query 0x3ee7 A www.wikipedia.org
8090,819.5396059,0.020166974,10.230.184.187,10.230.184.102,DNS,125,,Standard query response 0x3ee7 A www.wikipedia.org CNAME dyna.wikimedia.org A 185.15.58.224
8210,820.2802076,0.740601671,10.230.184.102,10.230.184.187,DNS,80,,Standard query 0xbc2e A upload.wikimedia.org
8216,820.3290094,0.048801803,10.230.184.187,10.230.184.102,DNS,96,,Standard query response 0xbc2e A upload.wikimedia.org A 185.15.58.240
9144,881.2295022,60.90049279,10.230.184.102,10.230.184.187,DNS,70,,Standard query 0x62e6 A github.com
9146,881.2766584,0.04715624,10.230.184.102,10.230.184.187,DNS,80,,Standard query 0x5c0d A collector.github.com
9147,881.3424517,0.065793314,10.230.184.102,10.230.184.187,DNS,92,,Standard query 0x7e0f A api.individual.githubcopilot.com
9148,881.3721627,0.029711008,10.230.184.102,10.230.184.187,DNS,76,,Standard query 0x5d29 A alive.github.com
9149,881.3723719,0.000209126,10.230.184.102,10.230.184.187,DNS,76,,Standard query 0xd717 AAAA alive.github.com
9150,881.3772501,0.004878199,10.230.184.187,10.230.184.102,DNS,309,,Standard query response 0x62e6 A github.com A 140.82.121.3 NS dns1.p08.nsone.net NS dns2.p08.nsone.net NS dns3.p08.nsone.net NS dns4.p08.nsone.net NS ns-1283.awsdns-32.org NS ns-1707.awsdns-21.co.uk NS ns-421.awsdns-52.com NS ns-520.awsdns-01.net
9151,881.3772504,0.000000288,10.230.184.187,10.230.184.102,DNS,166,,Standard query response 0x7e0f A api.individual.githubcopilot.com CNAME api.githubcopilot.com CNAME glb-db52c2cf8be544.github.com A 140.82.113.22
9152,881.3796503,0.002399933,10.230.184.187,10.230.184.102,DNS,105,,Standard query response 0xd717 AAAA alive.github.com CNAME live.github.com
9153,881.3806938,0.001043465,10.230.184.187,10.230.184.102,DNS,352,,Standard query response 0x5c0d A collector.github.com CNAME glb-db52c2cf8be544.github.com A 140.82.112.21 NS dns1.p08.nsone.net NS dns2.p08.nsone.net NS dns3.p08.nsone.net NS dns4.p08.nsone.net NS ns-1283.awsdns-32.org NS ns-1707.awsdns-21.co.uk NS ns-421.awsdns-52.com NS ns-520.awsdns-01.net
9157,881.4168867,0.03619291,10.230.184.187,10.230.184.102,DNS,111,,Standard query response 0x5d29 A alive.github.com CNAME live.github.com A 140.82.112.26
9158,881.4254416,0.008554899,10.230.184.102,10.230.184.187,DNS,76,,Standard query 0x5393 A alive.github.com
9159,881.4292324,0.003790866,10.230.184.187,10.230.184.102,DNS,121,,Standard query response 0x5393 A alive.github.com CNAME live.github.com A 140.82.112.26
9164,881.5665957,0.137363313,10.230.184.102,10.230.184.187,DNS,74,,Standard query 0xf837 A api.github.com
9170,881.6854422,0.118846461,10.230.184.187,10.230.184.102,DNS,313,,Standard query response 0xf837 A api.github.com A 140.82.121.6 NS dns1.p08.nsone.net NS dns2.p08.nsone.net NS dns3.p08.nsone.net NS dns4.p08.nsone.net NS ns-1283.awsdns-32.org NS ns-1707.awsdns-21.co.uk NS ns-421.awsdns-52.com NS ns-520.awsdns-01.net
